run,type,module,name,attrname,attrvalue,value
Default-0-20220223-16:31:20-311292,runattr,,,configname,Default,
Default-0-20220223-16:31:20-311292,runattr,,,datetime,20220223-16:31:20,
Default-0-20220223-16:31:20-311292,runattr,,,experiment,Default,
Default-0-20220223-16:31:20-311292,runattr,,,inifile,omnetpp.ini,
Default-0-20220223-16:31:20-311292,runattr,,,iterationvars,,
Default-0-20220223-16:31:20-311292,runattr,,,iterationvarsf,,
Default-0-20220223-16:31:20-311292,runattr,,,measurement,,
Default-0-20220223-16:31:20-311292,runattr,,,network,smartjunctionScenario,
Default-0-20220223-16:31:20-311292,runattr,,,processid,311292,
Default-0-20220223-16:31:20-311292,runattr,,,repetition,0,
Default-0-20220223-16:31:20-311292,runattr,,,replication,#0,
Default-0-20220223-16:31:20-311292,runattr,,,resultdir,results,
Default-0-20220223-16:31:20-311292,runattr,,,runnumber,0,
Default-0-20220223-16:31:20-311292,runattr,,,seedset,0,
Default-0-20220223-16:31:20-311292,param,,,*.playgroundSizeX,850m,
Default-0-20220223-16:31:20-311292,param,,,*.playgroundSizeY,850m,
Default-0-20220223-16:31:20-311292,param,,,*.playgroundSizeZ,10m,
Default-0-20220223-16:31:20-311292,param,,,*.annotations.draw,true,
Default-0-20220223-16:31:20-311292,param,,,*.manager.updateInterval,1s,
Default-0-20220223-16:31:20-311292,param,,,*.manager.host,"""localhost""",
Default-0-20220223-16:31:20-311292,param,,,*.manager.port,9999,
Default-0-20220223-16:31:20-311292,param,,,*.manager.autoShutdown,true,
Default-0-20220223-16:31:20-311292,param,,,*.manager.launchConfig,"xmldoc(""smartjunction.launchd.xml"")",
Default-0-20220223-16:31:20-311292,param,,,*.rsu[0].mobility.x,215,
Default-0-20220223-16:31:20-311292,param,,,*.rsu[0].mobility.y,215,
Default-0-20220223-16:31:20-311292,param,,,*.rsu[0].mobility.z,3,
Default-0-20220223-16:31:20-311292,param,,,*.rsu[*].applType,"""SmartJunctionRSUApp""",
Default-0-20220223-16:31:20-311292,param,,,*.rsu[*].appl.headerLength,80 bit,
Default-0-20220223-16:31:20-311292,param,,,*.rsu[*].appl.sendBeacons,true,
Default-0-20220223-16:31:20-311292,param,,,*.rsu[*].appl.dataOnSch,false,
Default-0-20220223-16:31:20-311292,param,,,*.rsu[*].appl.beaconInterval,20s,
Default-0-20220223-16:31:20-311292,param,,,*.rsu[*].appl.beaconUserPriority,7,
Default-0-20220223-16:31:20-311292,param,,,*.rsu[*].appl.dataUserPriority,5,
Default-0-20220223-16:31:20-311292,param,,,*.rsu[*].nic.phy80211p.antennaOffsetZ,0 m,
Default-0-20220223-16:31:20-311292,param,,,*.connectionManager.sendDirect,true,
Default-0-20220223-16:31:20-311292,param,,,*.connectionManager.maxInterfDist,2600m,
Default-0-20220223-16:31:20-311292,param,,,*.connectionManager.drawMaxIntfDist,false,
Default-0-20220223-16:31:20-311292,param,,,*.**.nic.mac1609_4.useServiceChannel,false,
Default-0-20220223-16:31:20-311292,param,,,*.**.nic.mac1609_4.txPower,20mW,
Default-0-20220223-16:31:20-311292,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,
Default-0-20220223-16:31:20-311292,param,,,*.**.nic.phy80211p.minPowerLevel,-110dBm,
Default-0-20220223-16:31:20-311292,param,,,*.**.nic.phy80211p.useNoiseFloor,true,
Default-0-20220223-16:31:20-311292,param,,,*.**.nic.phy80211p.noiseFloor,-98dBm,
Default-0-20220223-16:31:20-311292,param,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",
Default-0-20220223-16:31:20-311292,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",
Default-0-20220223-16:31:20-311292,param,,,*.**.nic.phy80211p.usePropagationDelay,true,
Default-0-20220223-16:31:20-311292,param,,,*.**.nic.phy80211p.antenna,"xmldoc(""antenna.xml"", ""/root/Antenna[@id='monopole']"")",
Default-0-20220223-16:31:20-311292,param,,,*.node[*].nic.phy80211p.antennaOffsetY,0 m,
Default-0-20220223-16:31:20-311292,param,,,*.node[*].nic.phy80211p.antennaOffsetZ,1.895 m,
Default-0-20220223-16:31:20-311292,param,,,*.node[*].applType,"""SmartJunctionCarApp""",
Default-0-20220223-16:31:20-311292,param,,,*.node[*].appl.headerLength,80 bit,
Default-0-20220223-16:31:20-311292,param,,,*.node[*].appl.sendBeacons,false,
Default-0-20220223-16:31:20-311292,param,,,*.node[*].appl.dataOnSch,false,
Default-0-20220223-16:31:20-311292,param,,,*.node[*].appl.beaconInterval,1s,
Default-0-20220223-16:31:20-311292,param,,,*.node[*].veinsmobility.x,0,
Default-0-20220223-16:31:20-311292,param,,,*.node[*].veinsmobility.y,0,
Default-0-20220223-16:31:20-311292,param,,,*.node[*].veinsmobility.z,0,
Default-0-20220223-16:31:20-311292,param,,,*.node[*].veinsmobility.setHostSpeed,false,
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[2].veinsmobility,stopTime,,,35
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[1].veinsmobility,stopTime,,,38
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[6].veinsmobility,stopTime,,,42
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[10].veinsmobility,stopTime,,,44
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[5].veinsmobility,stopTime,,,48
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[14].veinsmobility,stopTime,,,51
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[18].veinsmobility,stopTime,,,54
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[22].veinsmobility,stopTime,,,61
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[9].veinsmobility,stopTime,,,62
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[26].veinsmobility,stopTime,,,67
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[30].veinsmobility,stopTime,,,69
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[13].veinsmobility,stopTime,,,75
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[34].veinsmobility,stopTime,,,76
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[38].veinsmobility,stopTime,,,83
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[42].veinsmobility,stopTime,,,89
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[17].veinsmobility,stopTime,,,91
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[46].veinsmobility,stopTime,,,96
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[50].veinsmobility,stopTime,,,99
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[54].veinsmobility,stopTime,,,103
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[21].veinsmobility,stopTime,,,108
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[58].veinsmobility,stopTime,,,108
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[62].veinsmobility,stopTime,,,112
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[25].veinsmobility,stopTime,,,115
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[66].veinsmobility,stopTime,,,123
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[29].veinsmobility,stopTime,,,125
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[70].veinsmobility,stopTime,,,125
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[0].veinsmobility,stopTime,,,126
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[74].veinsmobility,stopTime,,,130
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[78].veinsmobility,stopTime,,,135
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[33].veinsmobility,stopTime,,,137
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[37].veinsmobility,stopTime,,,140
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[41].veinsmobility,stopTime,,,142
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[45].veinsmobility,stopTime,,,143
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[49].veinsmobility,stopTime,,,147
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[53].veinsmobility,stopTime,,,149
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[57].veinsmobility,stopTime,,,151
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[61].veinsmobility,stopTime,,,154
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[65].veinsmobility,stopTime,,,155
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[69].veinsmobility,stopTime,,,157
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[73].veinsmobility,stopTime,,,161
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[77].veinsmobility,stopTime,,,162
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[4].veinsmobility,stopTime,,,166
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[3].veinsmobility,stopTime,,,167
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[8].veinsmobility,stopTime,,,169
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[12].veinsmobility,stopTime,,,177
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[7].veinsmobility,stopTime,,,178
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[11].veinsmobility,stopTime,,,180
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[16].veinsmobility,stopTime,,,182
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[15].veinsmobility,stopTime,,,185
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[20].veinsmobility,stopTime,,,188
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[19].veinsmobility,stopTime,,,193
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[24].veinsmobility,stopTime,,,196
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[28].veinsmobility,stopTime,,,202
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[23].veinsmobility,stopTime,,,204
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[27].veinsmobility,stopTime,,,206
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[31].veinsmobility,stopTime,,,210
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[32].veinsmobility,stopTime,,,211
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[36].veinsmobility,stopTime,,,214
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[35].veinsmobility,stopTime,,,216
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[40].veinsmobility,stopTime,,,222
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[39].veinsmobility,stopTime,,,226
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[44].veinsmobility,stopTime,,,228
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[43].veinsmobility,stopTime,,,231
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[48].veinsmobility,stopTime,,,234
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[52].veinsmobility,stopTime,,,239
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[47].veinsmobility,stopTime,,,240
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[51].veinsmobility,stopTime,,,242
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[55].veinsmobility,stopTime,,,247
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[56].veinsmobility,stopTime,,,251
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[60].veinsmobility,stopTime,,,254
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[59].veinsmobility,stopTime,,,255
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[64].veinsmobility,stopTime,,,256
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[63].veinsmobility,stopTime,,,260
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[68].veinsmobility,stopTime,,,262
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[67].veinsmobility,stopTime,,,265
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[72].veinsmobility,stopTime,,,268
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[71].veinsmobility,stopTime,,,272
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[76].veinsmobility,stopTime,,,273
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[75].veinsmobility,stopTime,,,276
Default-0-20220223-16:31:20-311292,scalar,smartjunctionScenario.node[79].veinsmobility,stopTime,,,278
